date,sentiment140,textblob2,vader,n,retweet,favorite,followers,friends,user_favorite
2020-12-01,0.6236559139784946,0.4731182795698925,0.4838709677419355,279,1.3684717208182913,6.371600481347774,98052.6545527477,2122.8352186121137,27569.604171680705
2020-12-02,0.536734693877551,0.5448979591836735,0.5040816326530613,490,2.889411589008364,11.727299880525688,84724.53166069296,2372.8502837514934,28341.37447729988
2020-12-03,0.5942760942760943,0.4831649831649832,0.5336700336700336,594,3.0942836979534225,12.567819336626677,97781.5278052223,2406.107339449541,30227.05165843331
2020-12-04,0.5035294117647059,0.5341176470588235,0.4188235294117647,425,2.06912403166766,7.914786754064868,74893.78045458415,2246.562441474419,29552.857410402656
2020-12-05,0.5080645161290323,0.5524193548387096,0.4758064516129032,248,1.5651464025253077,7.69707194949385,77129.29334929792,2589.291607706542,33313.13159899858
2020-12-06,0.4803921568627451,0.4313725490196078,0.446078431372549,204,1.6358364458423431,8.218596422252801,74151.83369372912,2147.553567918223,33433.60713583644
2020-12-07,0.4682539682539682,0.4735449735449735,0.4523809523809524,378,1.4142614601018677,5.930319750990379,64098.46505376344,2301.597127900396,31967.54697226938
2020-12-08,0.5593667546174143,0.4907651715039577,0.449868073878628,758,2.899542217700916,20.35796032553408,84882.59677009155,2282.814025940997,29967.15958799593
2020-12-09,0.5095785440613027,0.4846743295019157,0.446360153256705,522,1.8356355620867009,8.69617927994122,84633.4675238795,2327.334900808229,28943.5938280676
2020-12-10,0.5887850467289719,0.5155763239875389,0.4345794392523364,642,1.5350877192982455,6.989443948855189,85220.08586083853,2339.123030032709,27991.977698483497
2020-12-11,0.4881305637982195,0.4940652818991098,0.4614243323442136,674,1.662787734647074,7.395820946232906,69806.60545315553,2451.3056994818653,28097.316656756982
2020-12-12,0.5358024691358024,0.4518518518518518,0.4,405,1.5660889046103057,8.744959320834807,81892.37153637543,2309.7888220728687,29662.83292064615
2020-12-13,0.5141843971631206,0.5301418439716312,0.3936170212765957,564,3.361189138576779,20.38951310861423,62910.49274344569,2411.6381086142324,30485.40332397004
2020-12-14,0.6028119507908611,0.5957820738137083,0.4490333919156414,1138,2.438914027149321,15.285595776772247,65114.14102564102,2117.200904977376,27084.23310708899
2020-12-15,0.5628672150411281,0.5699177438307873,0.4512338425381904,851,2.499714635140644,11.272808805544232,78154.20464737057,1997.833754586221,26004.518385650223
